name,region,electoralVotes
AL,South,9
AK,West,3
AZ,Southwest,11
AR,South,6
CA,West,55
CO,West,9
CT,New England,7
DE,Middle Atlantic,3
DC,Middle Atlantic,3
FL,South,29
GA,South,16
HI,West,4
ID,West,4
IL,Midwest,20
IN,Midwest,11
IA,Midwest,6
KS,Midwest,6
KY,South,8
LA,South,8
ME,New England,4
MD,Middle Atlantic,10
MA,New England,11
MI,Midwest,16
MN,Midwest,10
MS,South,6
MO,South,10
MT,West,3
NE,Midwest,5
NV,West,6
NH,New England,4
NJ,Middle Atlantic,14
NM,Southwest,5
NY,Middle Atlantic,29
NC,South,15
ND,Midwest,3
OH,Midwest,18
OK,Southwest,7
OR,West,7
PA,Middle Atlantic,20
RI,New England,4
SC,South,9
SD,Midwest,3
TN,South,11
TX,Southwest,38
UT,West,6
VT,New England,3
VA,South,13
WA,West,12
WV,South,5
WI,Midwest,10
WY,West,3